epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.511,2.30206,2.81833,1.7105,0.8883,0.49485,0.67148,0.29096,1.8491,1.86595,1.44968,0.00016,0.00016,0.00016
2,199.253,1.67521,1.67734,1.34303,0.81656,0.72165,0.82272,0.57322,1.00848,0.78883,1.05729,0.000333268,0.000333268,0.000333268
3,228.49,1.24728,1.00358,1.18271,0.72824,0.77351,0.84252,0.58791,1.03499,0.83571,1.05036,0.000499408,0.000499408,0.000499408
4,257.059,1.14811,0.87528,1.11195,0.91873,0.81577,0.91966,0.67964,0.96291,0.85097,1.01631,0.00065842,0.00065842,0.00065842
5,326.153,0.98746,0.7843,1.06389,0.94573,0.83505,0.9302,0.72744,0.80968,0.78647,0.9622,0.000810304,0.000810304,0.000810304
6,349.976,0.96098,0.76788,1.04466,0.93299,0.86129,0.95037,0.74325,0.79938,0.71677,0.95731,0.00095506,0.00095506,0.00095506
7,368.344,0.90018,0.72588,1.00991,0.96327,0.8866,0.96153,0.75949,0.75129,0.5903,0.93772,0.00109269,0.00109269,0.00109269
8,387.275,0.82917,0.67104,0.98142,0.95758,0.90722,0.96933,0.79432,0.69652,0.52221,0.92764,0.00122319,0.00122319,0.00122319
9,406.442,0.87236,0.67474,1.00752,0.96719,0.92784,0.9752,0.79885,0.6991,0.50332,0.92513,0.00134656,0.00134656,0.00134656
10,425.997,0.82114,0.66699,0.99309,0.97845,0.93636,0.97818,0.80943,0.68472,0.49583,0.92089,0.0014628,0.0014628,0.0014628
11,447.742,0.79801,0.6538,0.96772,0.99457,0.93814,0.98624,0.82696,0.6136,0.47759,0.89517,0.00157192,0.00157192,0.00157192
12,474.621,0.76325,0.62486,0.96141,0.99086,0.93814,0.98815,0.83463,0.6031,0.46771,0.88508,0.0015644,0.0015644,0.0015644
13,495.259,0.72706,0.57803,0.95207,0.98003,0.93814,0.98902,0.83988,0.59171,0.45626,0.8793,0.0015248,0.0015248,0.0015248
14,551.928,0.78746,0.60365,0.97533,0.97872,0.95876,0.98974,0.83953,0.58821,0.43795,0.87731,0.0014852,0.0014852,0.0014852
15,577.009,0.73204,0.55857,0.96172,0.98918,0.93814,0.9893,0.83907,0.62141,0.43229,0.88249,0.0014456,0.0014456,0.0014456
16,599.093,0.7229,0.56517,0.93908,0.99543,0.93814,0.98961,0.8454,0.61031,0.43292,0.88036,0.001406,0.001406,0.001406
17,619.226,0.71105,0.55513,0.93246,0.9891,0.93511,0.99048,0.84848,0.57321,0.4202,0.87338,0.0013664,0.0013664,0.0013664
18,639.827,0.70539,0.54917,0.93004,0.97653,0.94845,0.98965,0.84293,0.5644,0.41191,0.87071,0.0013268,0.0013268,0.0013268
19,664.785,0.69247,0.54625,0.94826,0.97315,0.94845,0.98898,0.84986,0.56837,0.39911,0.86431,0.0012872,0.0012872,0.0012872
20,688.794,0.66977,0.5233,0.91443,0.97157,0.94845,0.98873,0.85236,0.55888,0.39544,0.8592,0.0012476,0.0012476,0.0012476
21,711.079,0.69031,0.50251,0.93084,0.97505,0.94845,0.98865,0.85576,0.53687,0.39075,0.85468,0.001208,0.001208,0.001208
22,771.919,0.6738,0.51454,0.92346,0.97855,0.94048,0.98813,0.85306,0.52853,0.38456,0.85411,0.0011684,0.0011684,0.0011684
